"","date","prev","avg_n1_m","admission_rate","prev.bot","prev.top"
"1",2021-04-26,0.00131213169179916,0.000347106254011428,26.3425,0.00023765697936248,0.00238660640423583
"2",2021-05-03,0.00103080958706271,0.000437427448536913,28.1885714285714,0.000185703280488435,0.00187591589363699
"3",2021-05-10,0.000769536088093647,0.000318696029060765,25.5071428571429,0.0001154982286335,0.0014235739475538
"4",2021-05-17,0.000577578073793951,0.00024801601341393,22.5714285714286,6.10290959658475e-05,0.00109412705162205
"5",2021-05-24,0.000434961330361833,0.000316564659433312,25.4157142857143,3.50245406471106e-05,0.000834898120076556
"6",2021-05-31,0.000353166150998186,0.00012761665998571,21.8214285714286,2.67549919002689e-05,0.000679577310096104
"7",2021-06-07,0.000394647660277617,5.35116734385383e-05,19.2114285714286,2.19795737358018e-05,0.000767315746819432
"8",2021-06-14,0.000600119694034733,0.000373697985432907,16.8771428571429,2.47237843350589e-05,0.00117551560373441
"9",2021-06-21,0.000952386170925001,0.00010024579112065,14.3414285714286,3.67381700411898e-05,0.00186803417180881
"10",2021-06-28,0.00143430565563291,9.75341750066287e-05,11.8971428571429,6.29767804169385e-05,0.00280563453084889
"11",2021-07-05,0.00214196035340996,9.38193389973219e-05,8.46428571428571,0.000115598766086413,0.00416832194073352
"12",2021-07-12,0.00316165661123932,0.000281500666324617,8.97571428571429,0.000220683927107654,0.00610262929537098
"13",2021-07-19,0.00424502705256345,0.00030677406066374,10.4571428571429,0.00043305219297007,0.00805700191215682
"14",2021-07-26,0.00529654839482515,0.00174009469984617,11.24,0.000867127443723029,0.00972596934592728
"15",2021-08-02,0.00723805492393191,0.00202364003727516,21.95,0.00175634052729132,0.0127197693205725
"16",2021-08-09,0.00975654991413738,0.00173032692172673,43.5885714285714,0.00284814496404862,0.0166649548642261
"17",2021-08-16,0.0117041547014803,0.00435609300226376,67.8914285714286,0.0022172517602994,0.0211910576426611
"18",2021-08-23,0.0140280728098373,0.00574128430742602,84.0385714285714,0.0014399740593425,0.0266161715603321
"19",2021-08-30,0.0154505764394935,0.00611063167614625,110.44,0.000879687056854589,0.0300214658221324
"20",2021-09-06,0.0169281629566851,0.00258391688291517,128.118571428571,0.000510258792531614,0.0333460671208387
"21",2021-09-13,0.0143341973563804,0.00375288854401945,136.04,0.000282936866893285,0.0283854578458674
"22",2021-09-20,0.0100332372215204,0.00396321443206869,132.937142857143,0.000150718245991373,0.0199157561970494
"23",2021-09-27,0.00698608880379389,0.00316504544626886,114.891428571429,7.74135970238753e-05,0.0138947640105639
"24",2021-09-30,0.00512139036569451,0.00144746796208232,95.83,4.6371259018191e-05,0.0101964094723708
